studyName,Sample Number,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Species
0,373,0,1,0,131,1,26,42.5,16.986360302370805,187.0,3350.0,0,9.46929,-24.45721,0,1
0,39,0,1,0,33,0,7,39.8,19.1,184.0,4650.0,1,7.6322,-27.01854,1,0
2,340,0,0,0,62,1,28,46.8,14.3,215.0,4850.0,0,8.41151,-26.13832,0,2
2,218,0,1,0,0,1,26,50.8,19.0,210.0,4100.0,1,9.98044,-24.68741,0,1
0,155,0,1,0,108,1,33,45.4,18.7,188.0,3525.0,0,8.64701,-24.62717,0,1
2,199,0,1,0,159,1,35,49.0,19.6,212.0,4300.0,1,9.34089,-24.45189,2,1
0,172,0,1,0,130,1,49,42.4,17.3,181.0,3600.0,0,9.35138,-24.6879,0,1
2,101,0,0,0,81,1,47,41.0,20.0,203.0,4725.0,1,9.01079,-26.38085,0,0
2,402,0,1,0,184,1,35,49.18337246180201,17.670843115450502,190.57289221137376,3400.0,0,8.9399,-24.40753,0,1
0,30,0,1,0,24,1,45,39.5,16.7,178.0,3250.0,0,9.69756,-25.11223,0,0
1,72,0,2,0,54,1,4,39.6,17.2,196.0,3550.0,0,8.33524,-26.55351,2,0
0,168,0,1,0,126,0,39,50.3,20.0,197.0,3300.0,1,10.02019,-24.54704,0,1
2,140,0,1,0,145,1,11,40.2,17.1,193.0,3400.0,0,9.2881,-25.54976,0,0
0,354,0,1,0,121,1,25,57.50390083338159,17.955493768641592,182.25875907947955,3700.0,0,9.37369,-24.52896,0,1
2,380,0,1,0,128,1,35,46.94000516184708,18.247428792650588,201.0171413823294,3400.0,0,9.46819,-24.40753,0,1
1,55,0,0,0,29,1,46,41.4,18.6,191.0,3700.0,1,8.35396,-26.27853,0,0
1,294,0,0,0,97,1,42,46.4,15.0,216.0,4700.0,0,8.47938,-26.9547,0,2
1,284,0,0,0,22,1,40,45.8,14.2,219.0,4700.0,0,8.60447,-26.61601,2,2
1,444,0,1,0,8,1,23,44.46186234046579,17.217516879378945,219.0687359338509,5251.718398346272,1,8.15426,-27.01854,0,2
1,82,0,1,0,66,1,43,36.7,18.8,187.0,3800.0,0,7.88494,-26.24837,0,0
1,77,0,2,0,59,1,42,37.2,19.4,184.0,3900.0,1,8.3554,-26.44787,0,0
2,132,0,1,0,184,1,2,36.8,18.5,193.0,3500.0,0,8.98705,-25.57647,0,0
0,227,0,0,0,53,1,34,46.7,15.3,219.0,5200.0,1,8.22673,-25.4276,0,2
2,117,0,2,0,110,1,20,37.3,20.5,199.0,3775.0,1,9.49645,-26.36678,0,0
0,220,0,0,0,46,1,34,46.1,13.2,211.0,4500.0,0,7.993,-25.5139,0,2
1,436,0,0,0,79,1,28,49.16055457033079,15.880358839625805,222.2029359605748,5650.0,1,7.92358,-26.84166,0,2
1,79,0,1,0,61,1,46,42.1,19.1,195.0,4000.0,1,9.05736,-25.81513,0,0
2,446,0,0,0,20,1,37,48.12584760774397,14.339077246165326,204.82768261504023,4617.384655770666,0,7.77672,-25.50811,0,2
0,9,0,1,0,102,1,45,42.0,20.2,190.0,4250.0,1,9.13362,-25.09368,3,0
1,275,0,0,0,12,1,40,45.0,15.4,220.0,5050.0,1,8.63488,-26.75621,0,2
0,383,0,1,0,116,1,10,52.12546390775012,19.84103829230356,197.41038292303563,3714.740426924109,0,8.72037,-24.57994,0,1
0,248,0,0,0,80,1,37,48.2,14.3,210.0,4600.0,0,7.6887,-25.50811,0,2
0,421,0,1,0,155,0,26,47.625425779758885,18.084840494377467,195.5635644493972,3800.0,1,9.74492,-24.97134,0,1
2,113,0,0,0,104,1,14,42.2,19.5,197.0,4275.0,1,8.80186,-26.41218,0,0
1,450,0,0,0,97,1,38,45.01220382348448,15.2901655886397,218.4135029470179,5050.0,1,7.97408,-26.7489,0,2
1,76,0,1,0,58,1,42,40.9,16.8,191.0,3700.0,1,8.47257,-26.02002,0,0
1,281,0,0,0,17,1,38,46.2,14.9,221.0,5300.0,1,8.60092,-26.84374,0,2
2,321,0,0,0,27,1,28,55.9,17.0,228.0,5600.0,1,8.3118,-26.35425,0,2
2,124,0,2,0,121,1,20,35.2,15.9,186.0,3050.0,0,8.81668,-25.95399,0,0
1,78,0,1,0,60,1,46,36.2,16.1,187.0,3550.0,0,7.82381,-26.51382,0,0
1,374,0,1,0,129,1,18,50.717376944924354,20.229704879805595,210.8550820367171,4586.229490820725,1,9.25177,-24.35575,0,1
1,90,0,1,0,76,1,10,35.7,18.0,202.0,3550.0,0,8.46531,-26.05621,0,0
1,185,0,1,0,114,1,30,51.0,18.8,203.0,4100.0,1,9.23196,-24.17282,0,1
1,73,0,2,0,55,1,4,45.8,18.9,197.0,4150.0,1,8.18658,-26.45978,0,0
0,153,0,1,0,106,0,21,50.0,19.5,196.0,3900.0,1,8.92069,-24.23592,0,1
1,75,0,2,0,184,1,44,42.8,18.5,195.0,4250.0,1,8.2993,-26.38986,0,0
