studyName,Sample Number,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Species
1,70,0,2,0,52,1,10,33.5,19.0,190.0,3600.0,1,7.88863,-26.63085,0,0
0,237,0,0,0,63,1,34,49.2,15.2,221.0,6300.0,1,8.27376,-25.00169,0,2
2,433,0,0,0,4,1,32,48.44263223957549,15.086178949269907,214.26727631341265,5400.0,1,8.03659,-26.86127,0,2
1,297,0,0,0,100,1,42,51.1,16.3,220.0,6000.0,1,8.40327,-26.76821,0,2
1,261,0,0,0,124,0,40,49.6,16.0,225.0,5700.0,1,8.38324,-26.84272,2,2
0,33,0,1,0,27,1,45,40.9,18.9,184.0,3900.0,1,8.79665,-25.14591,0,0
0,247,0,1,0,79,1,37,47.8,15.0,215.0,5650.0,1,7.92358,-25.48383,0,2
2,316,0,0,0,22,1,20,49.4,15.8,216.0,4925.0,1,8.03624,-26.06594,0,2
2,405,0,1,0,109,1,36,46.8742771170346,16.6,191.96523934734404,2701.390426106238,0,9.35416,-25.01185,0,1
1,429,0,0,0,124,1,14,50.48455840744548,14.170877085980194,218.58245828039608,5300.0,1,7.96491,-26.79358,0,2
0,11,0,2,0,124,1,45,37.8,17.3,180.0,3700.0,1,7.6322,-27.01854,4,0
1,400,0,1,0,175,1,10,46.37894288301956,17.98804153962214,191.5597923018893,3502.751298113192,0,9.32105,-24.65786,0,1
0,15,0,1,0,165,1,15,36.6,17.8,185.0,3700.0,0,7.6322,-27.01854,5,0
1,443,0,0,0,16,1,49,42.12778615686667,13.540891570197331,210.30668677648,4147.444276862667,0,8.65015,-26.59467,0,2
2,314,0,0,0,18,1,35,44.5,14.7,214.0,4850.0,1,8.20106,-26.16524,0,2
0,0,0,2,0,20,1,3,39.1,18.7,181.0,3750.0,1,7.6322,-27.01854,5,0
0,19,0,1,0,184,1,15,46.0,21.5,194.0,4200.0,1,9.11616,-24.77227,0,0
1,432,0,0,0,184,1,38,45.71235660543943,14.395498746025346,210.0,4200.0,0,8.37615,-26.79053,0,2
2,302,0,0,0,184,1,14,47.4,14.6,212.0,4725.0,0,10.648313000000002,-26.24369,0,2
1,56,0,0,0,30,1,13,39.0,17.5,186.0,3550.0,0,8.57199,-26.07188,0,0
1,192,0,1,0,132,1,30,49.0,19.5,210.0,3950.0,1,9.53262,-24.66867,0,1
2,391,0,1,0,130,1,27,46.396744132161466,16.79327699479166,190.4663849739583,3631.670187825521,0,9.35138,-24.6879,0,1
2,301,0,0,0,21,1,20,52.5,15.6,221.0,5450.0,1,8.28601,-26.27573,2,2
2,209,0,1,0,173,1,26,49.3,19.9,203.0,4050.0,1,9.88809,-24.59513,0,1
2,304,0,0,0,164,1,28,44.9,13.8,212.0,4750.0,0,8.11238,-26.20372,0,2
0,403,0,1,0,184,1,25,50.25477932770851,19.40900738296125,196.9099261703876,3909.099261703876,1,9.53262,-25.1455,2,1
0,25,0,1,0,8,1,0,35.3,18.9,187.0,3800.0,0,9.21292,-24.3613,0,0
2,367,0,1,0,184,0,26,47.43027222274552,16.50763482134447,197.5648690487404,3327.9898561484574,0,9.56534,-24.40753,0,1
